environment,arm,window,metric,question,verdict,n_seed,n_pass,n_uninformative,statistic,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k1_X0Y0,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.40914583396958737,0.134358988842906,0.5605144068745467
conda,LR_k1_X0Y0,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k1_X0Y0,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.40914583396958737,0.134358988842906,0.5605144068745467
conda,LR_k1_X0Y0,primary400,reference,P3,FAIL,5,0,0,heldout_mape,0.2794685681633924,0.19229364608805288,0.34034428855123006
conda,LR_k1_X0Y0,primary400,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.10106791088709316,-0.14062390991246232,-0.041276034530749336
conda,LR_k1_X0Y0,secondary100,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k1_X0Y0,secondary100,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.5898667708379526,0.46738365764823675,0.6403924990274327
conda,LR_k1_X0Y0,secondary100,reference,P1,FAIL,5,0,0,late_nearbalance,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k1_X0Y0,secondary100,reference,P2,FAIL,5,0,0,late_loglog_slope,0.5898667708379526,0.46738365764823675,0.6403924990274327
conda,LR_k1_X0Y0,secondary100,reference,P3,FAIL,5,0,0,heldout_mape,0.052754030334743005,0.015206271786256297,0.16792353393174556
conda,LR_k1_X0Y0,secondary100,reference,P4,NOT_ESTABLISHED,5,0,0,raw_minus_reference_slope,-0.21529630516605047,-0.24487036614682073,-0.20131396564468967
conda,LR_k1_X0Y1,primary400,actual,A_BALANCE,FAIL,5,0,0,late_A_balance,0.6994777140427372,0.542223160790488,0.80311860194802
conda,LR_k1_X0Y1,primary400,actual,A_PLATEAU,FAIL,5,0,0,late_loglog_slope,0.2894800344369094,0.20400932311687126,0.7398520225499926
conda,LR_k1_X0Y1,primary400,reference,P1,FAIL,5,0,0,late_nearbalance,0.6994777140427372,0.542223160790488,0.80311860194802
conda,LR_k1_X0Y1,primary400,reference,P2,FAIL,5,0,0,late_loglog_slope,0.2894800344369094,0.20400932311687126,0.7398520225499926
conda,LR_k1_X0Y1,primary400,reference,P3,FAIL,5,3,0,heldout_mape,0.11978591259737098,0.027021890963266158,0.48744492359037067
