environment,arm,window,metric,field,n_seed,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,primary400,actual,n_transitions,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,actual,calibration_first_task,5,6.0,6.0,6.0
conda,LR_k1_X0Y0,primary400,actual,calibration_last_task,5,200.0,200.0,200.0
conda,LR_k1_X0Y0,primary400,actual,heldout_first_task,5,201.0,201.0,201.0
conda,LR_k1_X0Y0,primary400,actual,heldout_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,actual,qbar,5,0.1473209557706826,0.14098049744599953,0.1897425855910959
conda,LR_k1_X0Y0,primary400,actual,gamma,5,-0.0015274794056767329,-0.0016255814676773002,-0.0007852763907750765
conda,LR_k1_X0Y0,primary400,actual,split_V,5,79.15752863546453,65.19019257005968,100.75651623731129
conda,LR_k1_X0Y0,primary400,actual,heldout_mape,5,0.2794685681633924,0.19229364608805288,0.34034428855123006
conda,LR_k1_X0Y0,primary400,actual,constant_split_mape,5,0.15503363846986493,0.14816666267825312,0.21160872751002327
conda,LR_k1_X0Y0,primary400,actual,late_n_transitions,5,80.0,80.0,80.0
conda,LR_k1_X0Y0,primary400,actual,late_endpoint_relative_change,5,0.08925964834932901,0.030282193795098247,0.13468188632687714
conda,LR_k1_X0Y0,primary400,actual,late_median_relative_increment,5,0.0010899562712198517,0.0005518104738574082,0.0016126279614170251
conda,LR_k1_X0Y0,primary400,actual,late_loglog_slope,5,0.40914583396958737,0.134358988842906,0.5605144068745467
conda,LR_k1_X0Y0,primary400,actual,late_halves_ratio,5,1.0489828457191117,1.017748432299654,1.0644163117229137
conda,LR_k1_X0Y0,primary400,actual,late_nearbalance,5,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k1_X0Y0,primary400,actual,late_activity,5,0.0985310921589726,0.07008425190438426,0.13600953964329968
conda,LR_k1_X0Y0,primary400,actual,late_zero_Q_count,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_negative_c_fraction,5,0.475,0.2125,0.7625
conda,LR_k1_X0Y0,primary400,actual,window_endpoint,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,actual,late_first_task,5,321.0,321.0,321.0
conda,LR_k1_X0Y0,primary400,actual,late_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,actual,late_mean_V,5,104.77073776246675,82.24032166269225,131.21213484110754
conda,LR_k1_X0Y0,primary400,actual,late_mean_sigma,5,10.23478237567144,9.068478172514668,11.453067788292449
conda,LR_k1_X0Y0,primary400,actual,late_mean_sqrtQ,5,0.3580664625776214,0.3381915069021465,0.39778513125613346
conda,LR_k1_X0Y0,primary400,actual,late_sum_Q,5,10.320666149882612,9.195904311116216,12.74768396237185
conda,LR_k1_X0Y0,primary400,actual,late_sum_X,5,-0.8526308021716761,-4.376347126625924,3.2329497850543625
conda,LR_k1_X0Y0,primary400,actual,late_sum_G_pre,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_sum_A_energy,5,82.98839319161632,65.33356371814395,147.5444278383173
conda,LR_k1_X0Y0,primary400,actual,late_sum_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_sum_AE_cross,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_sum_total_energy,5,82.98839319161632,65.33356371814395,147.5444278383173
conda,LR_k1_X0Y0,primary400,actual,late_sum_mean_A_sq,5,73.79248888050012,54.1480954286843,134.79674387594542
conda,LR_k1_X0Y0,primary400,actual,late_sum_mean_E_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_sum_centered_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_target_change_fraction,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_target_change_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_learner_input_mean_shift_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_original_context_mean_shift_sq,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,primary400,actual,late_task_start_mse,5,0.0003678693059718796,0.0003255963888705082,0.0008945433133021652
conda,LR_k1_X0Y0,primary400,actual,late_mse,5,0.000366135843812998,0.0003275402637171965,0.0008958353174648437
conda,LR_k1_X0Y0,primary400,actual,late_task_mse_gain,5,-1.2920041626784951e-06,-4.940580947732087e-06,1.7334621588815935e-06
conda,LR_k1_X0Y0,primary400,actual,late_task_start_acc,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_train_acc,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_task_accuracy_gain,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_grad_w1_start_norm,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_grad_w1_end_norm,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_grad_w2_start_norm,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_grad_w2_end_norm,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_adaptive_alpha_median,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_adaptive_alpha_clip_frac,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_adaptive_alpha_median_l1,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_adaptive_alpha_median_l2,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_adaptive_alpha_clip_frac_l1,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_adaptive_alpha_clip_frac_l2,0,,,
conda,LR_k1_X0Y0,primary400,actual,late_A_balance,5,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k1_X0Y0,primary400,actual,late_A_activity,5,0.0985310921589726,0.07008425190438426,0.13600953964329968
conda,LR_k1_X0Y0,primary400,actual,late_update_only_balance,5,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k1_X0Y0,primary400,actual,late_G_pre_over_Q,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_abs_G_pre_over_Q,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,actual,late_update_negative_c_fraction,5,0.475,0.2125,0.7625
conda,LR_k1_X0Y0,primary400,actual,low_response_onset_task,0,,,
conda,LR_k1_X0Y0,primary400,actual,active_window_first_task,0,,,
conda,LR_k1_X0Y0,primary400,actual,active_window_last_task,0,,,
conda,LR_k1_X0Y0,primary400,actual,active_window_balance,0,,,
conda,LR_k1_X0Y0,primary400,actual,active_window_activity,0,,,
conda,LR_k1_X0Y0,primary400,actual,active_window_loglog_slope,0,,,
conda,LR_k1_X0Y0,primary400,actual,raw_minus_reference_slope,0,,,
conda,LR_k1_X0Y0,primary400,raw,n_transitions,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,raw,calibration_first_task,5,6.0,6.0,6.0
conda,LR_k1_X0Y0,primary400,raw,calibration_last_task,5,200.0,200.0,200.0
conda,LR_k1_X0Y0,primary400,raw,heldout_first_task,5,201.0,201.0,201.0
conda,LR_k1_X0Y0,primary400,raw,heldout_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,raw,qbar,5,0.6787256956301481,0.6485354720014171,0.8780039487922418
conda,LR_k1_X0Y0,primary400,raw,gamma,5,-0.0008285122445864291,-0.000967309826428031,-0.0003690033584120842
conda,LR_k1_X0Y0,primary400,raw,split_V,5,468.872258151949,403.7118648345612,548.0267494424143
conda,LR_k1_X0Y0,primary400,raw,heldout_mape,5,0.15510048315264727,0.09110484382939397,0.2030194373477346
conda,LR_k1_X0Y0,primary400,raw,constant_split_mape,5,0.1230877594012377,0.1047574240475355,0.15526232205968232
conda,LR_k1_X0Y0,primary400,raw,late_n_transitions,5,80.0,80.0,80.0
conda,LR_k1_X0Y0,primary400,raw,late_endpoint_relative_change,5,0.07098838610403237,0.020742567746756778,0.09931135100268494
conda,LR_k1_X0Y0,primary400,raw,late_median_relative_increment,5,0.0008844153606339512,0.00042642380192258963,0.0012390290437037615
conda,LR_k1_X0Y0,primary400,raw,late_loglog_slope,5,0.3080779230824942,0.09308295431215667,0.4256501585078773
conda,LR_k1_X0Y0,primary400,raw,late_halves_ratio,5,1.0367090856973558,1.0123845709932393,1.0485288662481749
conda,LR_k1_X0Y0,primary400,raw,late_nearbalance,5,0.2300381521831194,-0.49777610766831243,0.8065355447253538
conda,LR_k1_X0Y0,primary400,raw,late_activity,5,0.08471774291859248,0.06290562634812932,0.10544040882190336
conda,LR_k1_X0Y0,primary400,raw,late_zero_Q_count,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_negative_c_fraction,5,0.525,0.25,0.8875
conda,LR_k1_X0Y0,primary400,raw,window_endpoint,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,raw,late_first_task,5,321.0,321.0,321.0
conda,LR_k1_X0Y0,primary400,raw,late_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,raw,late_mean_V,5,588.0153144922072,473.88850365500866,682.2313578039266
conda,LR_k1_X0Y0,primary400,raw,late_mean_sigma,5,24.247714593317056,21.76877737543314,26.117104637098077
conda,LR_k1_X0Y0,primary400,raw,late_mean_sqrtQ,5,0.767076365915256,0.7305207565074265,0.8574099626606018
conda,LR_k1_X0Y0,primary400,raw,late_sum_Q,5,47.35169875737471,42.916190876990726,59.24958996919907
conda,LR_k1_X0Y0,primary400,raw,late_sum_X,5,-6.54344668605699,-20.1500797982307,10.681327225349392
conda,LR_k1_X0Y0,primary400,raw,late_sum_G_pre,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_A_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_AE_cross,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_total_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_mean_A_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_mean_E_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_sum_centered_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_target_change_fraction,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_target_change_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_learner_input_mean_shift_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,raw,late_original_context_mean_shift_sq,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,primary400,raw,late_task_start_mse,5,0.0003678693059718796,0.0003255963888705082,0.0008945433133021652
conda,LR_k1_X0Y0,primary400,raw,late_mse,5,0.000366135843812998,0.0003275402637171965,0.0008958353174648437
conda,LR_k1_X0Y0,primary400,raw,late_task_mse_gain,5,-1.2920041626784951e-06,-4.940580947732087e-06,1.7334621588815935e-06
conda,LR_k1_X0Y0,primary400,raw,late_task_start_acc,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_train_acc,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_task_accuracy_gain,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_grad_w1_start_norm,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_grad_w1_end_norm,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_grad_w2_start_norm,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_grad_w2_end_norm,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_adaptive_alpha_median,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_adaptive_alpha_clip_frac,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_adaptive_alpha_median_l1,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_adaptive_alpha_median_l2,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_adaptive_alpha_clip_frac_l1,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_adaptive_alpha_clip_frac_l2,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_A_balance,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_A_activity,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_update_only_balance,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_G_pre_over_Q,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_abs_G_pre_over_Q,0,,,
conda,LR_k1_X0Y0,primary400,raw,late_update_negative_c_fraction,0,,,
conda,LR_k1_X0Y0,primary400,raw,low_response_onset_task,0,,,
conda,LR_k1_X0Y0,primary400,raw,active_window_first_task,0,,,
conda,LR_k1_X0Y0,primary400,raw,active_window_last_task,0,,,
conda,LR_k1_X0Y0,primary400,raw,active_window_balance,0,,,
conda,LR_k1_X0Y0,primary400,raw,active_window_activity,0,,,
conda,LR_k1_X0Y0,primary400,raw,active_window_loglog_slope,0,,,
conda,LR_k1_X0Y0,primary400,raw,raw_minus_reference_slope,0,,,
conda,LR_k1_X0Y0,primary400,reference,n_transitions,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,reference,calibration_first_task,5,6.0,6.0,6.0
conda,LR_k1_X0Y0,primary400,reference,calibration_last_task,5,200.0,200.0,200.0
conda,LR_k1_X0Y0,primary400,reference,heldout_first_task,5,201.0,201.0,201.0
conda,LR_k1_X0Y0,primary400,reference,heldout_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,reference,qbar,5,0.1473209557706826,0.14098049744599953,0.1897425855910959
conda,LR_k1_X0Y0,primary400,reference,gamma,5,-0.0015274794056767329,-0.0016255814676773002,-0.0007852763907750765
