arm,family,alpha,offset,root,seed,window,task_start,task_end,free_growth,full_growth,free_rms,full_rms,root_distance_rms,zmean,near_mean_fraction,near_all_inputs_fraction,unit_shrink_fraction,median_unit_growth,v_rms,effective_v2_gate2,unit_output_variance,loss,unfit
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,0,initial,0,0,1.0,1.0,0.7223637571689194,1.4398913264348285,1.1358847674425785,-0.13029632209800185,0.09,0.0,0.0,1.0,0.09690787394070474,0.014421144185838963,0.0017145316984251058,0.8593296102714644,1.399314928262063
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,0,early,2,20,1.3759774947013752,1.0861388654316657,0.9939562728523623,1.5639219316388209,0.8298877066183254,-0.16463976479662962,0.14421052631578948,0.0,0.37,1.0388090778506949,0.22139591258185562,0.06298272265422838,0.06433604335636486,1.0645195321810802e-05,3.834936013600762e-06
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,0,middle,21,100,1.6184030753705232,1.1357972910065024,1.169075726138385,1.6354246679084379,0.8279027097824588,-0.1257697358620148,0.126625,0.0,0.36,1.1208614527423335,0.195982717027612,0.0500153175276958,0.04310491440472967,7.141418960971783e-09,6.459226343305691e-09
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,0,late,451,500,1.7685068373214556,1.064683746102498,1.2775052435864496,1.5330288914091281,0.7936223544839399,-0.060682163094359566,0.272,0.1216,0.38,1.4615255825241116,0.17456148994608156,0.04017195459461699,0.03236081533971137,3.5893831398119302e-12,3.1504786817866104e-12
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,0,final,500,500,1.753190623535084,1.0679020463173856,1.266441365850124,1.5376628939744081,0.8105907886844425,-0.050431541614234444,0.31,0.13,0.38,1.4593138013750355,0.18900894416493194,0.04791493655623781,0.03878416210696977,3.752373434049215e-13,1.6299290288109047e-13
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,1,initial,0,0,1.0,1.0,0.7127536716197848,1.4203201929643945,0.9994364231190577,0.06741271622711792,0.08,0.0,0.0,1.0,0.09383858786956806,0.014984101959206585,0.001676054377307491,9.547030746056802,0.8107655000379024
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,1,early,2,20,1.3944419981194998,1.096557143348906,0.9938936540205023,1.5574622534378033,0.7941777051004166,-0.09970943046203741,0.16473684210526315,0.0,0.51,0.9925045379506062,0.22558759232817516,0.0633422772631949,0.05495713606102246,8.306789807061567e-06,2.5472152807562428e-06
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,1,middle,21,100,1.6822318854023262,1.1699533500758938,1.199016952836381,1.6617083679391331,0.7800568350088699,-0.07276188926316536,0.157375,0.0,0.44,1.0863928574044048,0.2011360304488718,0.05395072515301186,0.047459346605140194,1.950349712334752e-06,2.518016280354849e-07
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,1,late,451,500,1.7241814145182774,1.066202400539928,1.2289166337364963,1.5143487992739713,0.772691627315335,0.02405012603450159,0.3556,0.1974,0.44,1.3689273693264832,0.18227230474692355,0.04568432780052368,0.03598603608626427,8.289264924012291e-11,4.9581912839975155e-11
SN_normal_qm05,snake,1,-0.5,0.36954256660758034,1,final,500,500,1.7605402722227126,1.0769813912686073,1.2548315430612338,1.5296584174656902,0.8007119962644559,0.061562039125710726,0.43,0.26,0.45,1.368266391556451,0.17012929446641756,0.03844132984783453,0.024600520127191817,4.586064451084417e-13,1.9856311561370618e-13
